userName;score;content
Pengguna Google;2;Kaget dengan tarif yg 2x dri harga biasa... Pdhl deket. Kapok langsung hapus apk ini beralih pake transport online yg stabil tdk kadang murah kadang mahal
Pengguna Google;5;semoga tetap humanis dlm melayani pelanggan ..
Pengguna Google;2;harganya ko suka naik tiba tiba, kurang stabil. semakin sering menggunakan tapi jarang banget dapat diskon.
Pengguna Google;5;Best
Pengguna Google;5;bagus pertahankan
Pengguna Google;3;kenapa akhir2 ini nggak ada drivernya, disaat lagi butuh atau buru2? awalnya baik-baik aja sampe akhir2 ini jarang ada pengemudi
Pengguna Google;5;suka pls sama grab harga nya mumer tpi mines nya cri driver di daerah ku susah bgt :( prnh 10 menit an kurang nungguin g dpt :<
Pengguna Google;1;cari grabnya suka lama kalau dapet pasti dibatalin sama pengemudinya alasannya maaf dek terlalu jauh
Pengguna Google;4;bagus
Pengguna Google;1;sangat susah milih antara grab car dan bike pilih car kembali ke bike..tujuan car hanya 3 kenapa..?
Pengguna Google;1;GK jelasaaas mengganti pembayaran semau y!!!
Pengguna Google;5;terbaik
Pengguna Google;5;Aplikasi nya mudah dan cepat
Pengguna Google;5;Sangat baik
Pengguna Google;5;Gama jaya selalu
Pengguna Google;5;kurir nya baik dan ramah
Pengguna Google;4;baguss
Pengguna Google;5;Alhamdulillah selamat grebnya ramah ga ngebut
Pengguna Google;5;bagus
Pengguna Google;1;grab aplikasi nassundalang
Pengguna Google;5;Good
Pengguna Google;5;bagus
Pengguna Google;4;nice
Pengguna Google;1;aplikasi aneh, selalu bayar tepat waktu dan gak pernah nunggak ,bahkan sering transaksi tapi limit ovo paylater nya dari 6jt jd 2,5jt ehh skrng malah jadi 0 rupiah, aneh memang aplikasi satu ini, udah mulai mau bangkrut apa yah, makin lama makin bnyak alesan nya
Pengguna Google;5;mantaf
Pengguna Google;2;why can't install grab in my tablet s10 lite?
Pengguna Google;5;Bagus bet sih
Pengguna Google;1;apalah masa gua mesen grabfood udah nunggu lama malah di batalin mulu udah 3 kali kontoI
Pengguna Google;5;Alhamdulillah, terimakasih grab
Pengguna Google;5;kenapa ga bisa di update?😑
Pengguna Google;5;saya puas
Pengguna Google;5;Oke sipp
Pengguna Google;5;jajaj
Pengguna Google;1;cari drivernya lama sekali dapet drivernya yg males malesan gak mau jemput
Pengguna Google;5;bagus pelayanan bagus
Pengguna Google;1;DELIVERY NYA TOXIC, DAN BATALIN SEPIHAK
Pengguna Google;1;"cari driver dari jam 17.42 sqmpai jam 20.19 masih tidak dapat, apa""an ini. di jakarta segitu banyak driver masa gk ada yg mau pick orderan"
Pengguna Google;5;good
Pengguna Google;5;baik dan ramah
Pengguna Google;1;kalo pesan yg standar nunggu lama tidak dpt driver, kalo instan yg deket ternyata banyak
Pengguna Google;1;ovo paylater gk bsa dpkai Rp.1 gila
Pengguna Google;5;keren
Pengguna Google;5;apk nih bagus sangat membatu
Pengguna Google;1;Grab goblog banget klo lg ujan, pilih grab hemat kgk dpt2, ngetes pilih pake bike standar,, lsg dpt donk. bike hemat 19.500, bike standart 46.000.... anjingggg !!!!
Pengguna Google;5;siiippppp
Pengguna Google;1;tiap order kalo hujan apa gerimis. selalu ditolak atau lama dapatnya. konyol sekali pelayanan anda. perbaiki itu para drivermu
Pengguna Google;5;baik
Pengguna Google;1;aplikasi tranportasi taekkk💩💩🐀
Pengguna Google;2;Tambah lama aplikasi ini tambah kikir padahal hujan udah berhenti tapi ga ada satupun yang nyantol
Pengguna Google;5;penting maem...
Pengguna Google;5;apk nya bagus cuman driver nya itu Sombong loh,klo ada harga murah apa promo gtu pasti agak susah tolong di telaah ya.untuk sejauh ini sih aku tetep suka
Pengguna Google;5;sangat membantu
Pengguna Google;5;sangat bagus
Pengguna Google;5;driver grab oke
Pengguna Google;1;pesan grab car atau grab bike suka ke batal sendiri aneh aplikasinya
Pengguna Google;2;"paling males buat ngasih ulasan sgla mcam tp kli ini kykny prlu di kritik. dari sistem apkny si aman"" aj buat aku tp tolong dong cara pemilihan driver nya di betulkan lg atu stidakny tolong di perketat, krna prnh dpt driver yg smbil jualan dagangannya dari situ aj udh gk jls bnget ngedriver smbil jualan mna maksa pula trs brusan dpt driver yg sama dan memilih untuk cancel eh malah marah"" alasannya jauh pdhl di apk cuma 4 menit najiss, trs jg skrng bnyk driver yg udh lansia tolong di seleksi lg"
Pengguna Google;3;alamat ga bisa d perbaharui lagi.saya copy paste alamat di google map alamat titik rumah sy.tp ko ga bisa ya?
Pengguna Google;1;"maksudnya apa coba akun ditangguhkan cuma gegara sering ganti akun terus bikin baru padahal udah jelas"" beda no telp sama email juga niatnya juga cuma buat nyari promo malah ditangguhkan padahal gapernah ada masalah orderan lawak banget sistemnya"
Pengguna Google;5;mantap
Pengguna Google;1;susah x dapat driver sekali dapat malahan asik di cancel
Pengguna Google;5;sangatt membantuu
Pengguna Google;4;baik sangat
Pengguna Google;5;bagus
Pengguna Google;5;i love grab
Pengguna Google;5;baik
