MBl,BEl,VEp,REs,OGp,RMl,BLs,PFv,PFs,CPt,Family
35.2,5.413555191,0.647214694,0.394657198,0.732783052,1.088010504,0.343562557,0.566034152,0.150665781,3.632989737,Auchenipteridae
13.056000000000001,5.184823529,0.502262443,0.242424242,0.619909502,0.926050505,0.447963801,0.312217195,0.136283584,4.533831028,Auchenipteridae
22.0,4.328259679,0.331298938,0.401087216,0.458997143,0.692320276,0.392089046,0.279646341,0.177531986,3.677101342,Auchenipteridae
26.8,5.468091491,0.628945611,0.374100617,0.671312832,0.839752741,0.678030413,0.1529266,0.183116368,2.907211526,Characidae
36.0,4.134969949,0.672996972,0.523560419,0.672996972,0.624857194,0.563660807,0.672996972,0.150323351,3.337360539,Mugilidae
75.0,4.209332469,0.616730645,0.422809647,0.498280074,0.572285052,0.548806022,0.766588564,0.156262214,2.089794667,Mugilidae
10.0,4.076567136,0.484752806,0.390921303,0.318027165,0.429127196,0.520074036,0.300734007,0.188719517,1.943681715,Cyprinidae
42.0,4.057813609,0.599508488,0.122403828,0.283484058,0.267621264,0.586680665,0.302973193,0.205774045,2.6680434816,Pimelodidae
32.0,4.882611425,0.506681015,0.212114564,0.13146803,0.689377319,0.64232548,0.126510114,0.170263065,3.329319977,Pimelodidae
35.0,5.194127083,0.482537714,0.180005353,0.147295289,0.517883431,0.588236452,0.152943839,0.15099598,1.241833341,Pimelodidae
30.0,4.879369411,0.609028622,0.368429633,0.726243353,0.730571276,0.427619655,0.422132372,0.146098535,2.519605722,Schilbeidae
10.08,4.057379696,0.421047595,0.506796078,0.468917836,0.283448768,0.358878482,0.315785696,0.135592171,1.729767811,Schilbeidae
16.0,3.953642384,0.569576159,0.38961039,0.370860927,0.246415584,0.509933775,0.311258278,0.191167504,2.210247505,Cyprinidae
5.0,4.090377256,0.426054152,0.147240145,0.129963899,0.31021301,0.490137184,0.332129964,0.194493636,2.094674523,Akysidae
3.36,5.282933373,0.550223858,0.163555839,0.222017925,0.200727536,0.561833905,0.311284471,0.223787148,2.338152514,Akysidae
5.0,5.08986594,0.611213361,0.175930831,0.277357419,0.3709164732,0.664882981,0.243933197,0.207595813,2.531453307,Akysidae
3.13,5.546141844,0.606375887,0.166154805,0.331886525,0.2134625,0.54614539,0.290712766,0.212520748,2.375617045,Akysidae
3.0,4.257090989,0.440616014,0.124993669,0.249488279,0.23162826,0.481139432,0.309944442,0.175999199,2.24640921,Akysidae
4.0,4.950598073,0.544557805,0.220468227,0.295166703,0.266443701,0.60686837,0.245264126,0.191196849,2.030347234,Akysidae
4.0,5.047313297,0.47756216,0.180640404,0.232142857,0.3050725032,0.574446519,0.227727734,0.152259414,2.096370336,Akysidae
30.0,4.027367203,0.517670924,0.49145828,0.430181853,0.322553195,0.501582267,0.25894861,0.152096356,2.894394969,Cyprinidae
18.5,3.512796769,0.525739563,0.623262053,0.488984023,0.580383492,0.451359456,0.268386674,0.204675647,3.342143807,Cyprinidae
9.0,3.775582114,0.451755332,0.524092491,0.393062087,0.341397315,0.578447024,0.281989329,0.190800701,2.659670544,Cyprinidae
20.0,3.399537805,0.580208499,0.480494606,0.525608122,0.313874884,0.403177451,0.385706012,0.1680655,3.119769486,Cyprinidae
25.0,4.253526855,0.559971056,0.540985824,0.559971056,0.441100168,0.429576461,0.2766026,0.152191702,1.942321838,Cyprinidae
12.7,4.088881818,0.354663636,0.611174997,0.381927273,0.458499322,0.442709091,0.145736364,0.162780667,2.158013913,Cyprinidae
6.05,4.086596643,0.648993774,0.50953782,0.648993774,0.306786986,0.564798397,0.269585821,0.133862818,2.799521463,Cyprinidae
22.0,4.03104469,0.637553245,0.614438664,0.6943181,0.337188803,0.419771136,0.340625226,0.168893506,2.5998984026,Cyprinidae
40.0,4.304443236,0.516448787,0.499901961,0.555920251,0.568627451,0.478271471,0.328975749,0.142962963,2.427996763,Cyprinidae
16.0,4.362049409,0.571894444,0.500293103,0.571894444,0.488275862,0.483744516,0.317011126,0.149579064,2.203651243,Cyprinidae
20.4,4.455378662,0.585288027,0.553571429,0.602031637,0.457357143,0.47523677,0.311033979,0.160326398,3.530673469,Cyprinidae
